DATE,UNRATE,LFPR,notinLF,LNS11300001,m_not_lfpr,LNS11300002,w_not_lfpr,,lessHS2,HS,some_college,AD,BD,year,lessHS
2000-01-01,4,67.3,32.7,75.1,24.9,60.1,39.9,,82.1,,,,,1995,79.5
2000-02-01,4.1,67.3,32.7,75.3,24.7,60,40,2000,,90.7,91.9,93.9,95.8,2000,82.1
2000-03-01,4,67.3,32.7,75,25,60.1,39.9,2005,,89.1,90.6,93.2,94.9,2005,82
2000-04-01,3.8,67.3,32.7,74.9,25.1,60.3,39.7,2006,,89,90.7,93,95,2006,82.7
2000-05-01,4,67.1,32.9,74.8,25.2,60,40,2007,,89.1,91,93.3,95.4,2007,82.7
2000-06-01,4,67.1,32.9,74.8,25.2,60,40,2008,,88.7,90.4,93.1,95.2,2008,82.3
2000-07-01,4,66.9,33.1,74.5,25.5,59.9,40.1,2009,,87.6,89.4,92.2,95.1,2009,81.2
2000-08-01,4.1,66.9,33.1,74.8,25.2,59.6,40.4,2010,,87.1,88.6,92,94.5,2010,81
2000-09-01,3.9,66.9,33.1,74.6,25.4,59.8,40.2,2011,,86.1,87.5,91.1,94.5,2011,80.6
2000-10-01,3.9,66.8,33.2,74.5,25.5,59.7,40.3,2012,,86,87.7,91.5,94.5,2012,79.3
2000-11-01,3.9,66.9,33.1,74.6,25.4,59.9,40.1,2013,,85.4,87.5,91.4,94.2,2013,79.3
2000-12-01,3.9,67,33,74.7,25.3,59.9,40.1,2014,,85,86.8,91,94.1,2014,79.6
2001-01-01,4.2,67.2,32.8,75,25,60.1,39.9,2015,,84.8,87.3,91.6,93.9,2015,79.5
2001-02-01,4.2,67.1,32.9,74.8,25.2,60,40,,,,,,,,
2001-03-01,4.3,67.2,32.8,74.7,25.3,60.2,39.8,,,,,,,,
2001-04-01,4.4,66.9,33.1,74.6,25.4,59.8,40.2,,,,,,,,
2001-05-01,4.3,66.7,33.3,74.4,25.6,59.7,40.3,,,,,,,,
2001-06-01,4.5,66.7,33.3,74.3,25.7,59.7,40.3,,,,,,,,
2001-07-01,4.6,66.8,33.2,74.4,25.6,59.7,40.3,,,,,,,,
2001-08-01,4.9,66.5,33.5,74.1,25.9,59.5,40.5,,,,,,,,
2001-09-01,5,66.8,33.2,74.5,25.5,59.6,40.4,,,,,,,,
2001-10-01,5.3,66.7,33.3,74.4,25.6,59.7,40.3,,,,,,,,
