DATE,UNRATE,LFPR,notinLF,m_lfpr,m_not_lfpr,w_lfpr,
2000-01-01,4,6,32.7,74.3,25.7,59.9,40.1
2000-02-01,4.1,3,32.7,74.7,25.3,60.0,40.0
2000-03-01,4,5,32.7,74.6,25.4,60.2,39.8
2000-04-01,3.8,5,32.7,74.5,25.5,60.1,39.9
2000-05-01,4,0,32.9,74.6,25.4,59.9,40.1
2000-06-01,4,7,32.9,75.8,24.2,60.3,39.7
2000-07-01,4,4,33.1,75.8,24.2,60.0,40.0
2000-08-01,4.1,10,33.1,75.5,24.5,59.6,40.4
2000-09-01,3.9,5,33.1,74.4,25.6,59.6,40.4
2000-10-01,3.9,8,33.2,74.5,25.5,59.8,40.2
2000-11-01,3.9,7,33.1,74.4,25.6,59.9,40.1
2000-12-01,3.9,0,33,74.5,25.5,60.0,40.0
2001-01-01,4.2,0,32.8,74.3,25.7,59.9,40.1
2001-02-01,4.2,7,32.9,74.2,25.8,60.1,39.9
2001-03-01,4.3,1,32.8,74.3,25.7,60.3,39.7
2001-04-01,4.4,8,33.1,74.3,25.7,59.6,40.4
2001-05-01,4.3,7,33.3,74.2,25.8,59.6,40.4
2001-06-01,4.5,8,33.3,75.2,24.8,59.9,40.1
2001-07-01,4.6,8,33.2,75.6,24.4,59.9,40.1
2001-08-01,4.9,10,33.5,74.7,25.3,59.4,40.6
2001-09-01,5,6,33.2,74.3,25.7,59.5,40.5
2001-10-01,5.3,10,33.3,74.3,25.7,59.7,40.3
2001-11-01,5.5,4,33.3,74.0,26.0,59.8,40.2
2001-12-01,5.7,2,33.3,74.0,26.0,59.7,40.3
2002-01-01,5.7,4,33.5,73.6,26.4,59.3,40.7
2002-02-01,5.7,2,33.2,73.8,26.2,59.9,40.1
2002-03-01,5.7,4,33.4,73.9,26.1,59.8,40.2
2002-04-01,5.9,7,33.3,73.9,26.1,59.6,40.4
2002-05-01,5.8,6,33.3,74.2,25.8,59.4,40.6
2002-06-01,5.8,1,33.4,75.0,25.0,59.8,40.2
2002-07-01,5.8,8,33.5,75.2,24.8,59.7,40.3
2002-08-01,5.7,4,33.4,74.6,25.4,59.6,40.4
2002-09-01,5.7,1,33.3,74.1,25.9,59.6,40.4
2002-10-01,5.7,2,33.4,74.0,26.0,59.7,40.3
2002-11-01,5.9,0,33.6,73.5,26.5,59.6,40.4
2002-12-01,6,6,33.7,73.4,26.6,59.5,40.5
2003-01-01,5.8,9,33.6,73.1,26.9,59.6,40.4
2003-02-01,5.9,1,33.6,73.3,26.7,59.6,40.4
2003-03-01,5.9,0,33.7,73.1,26.9,59.7,40.3
2003-04-01,6,6,33.6,73.3,26.7,59.5,40.5
2003-05-01,6.1,7,33.6,73.3,26.7,59.5,40.5
2003-06-01,6.3,10,33.5,74.4,25.6,60.1,39.9
2003-07-01,6.2,0,33.8,74.5,25.5,59.7,40.3
2003-08-01,6.1,1,33.9,73.8,26.2,59.5,40.5
2003-09-01,6.1,5,33.9,73.3,26.7,59.1,40.9
2003-10-01,6,8,33.9,73.3,26.7,59.4,40.6
2003-11-01,5.8,10,33.9,73.4,26.6,59.3,40.7
2003-12-01,5.7,4,34.1,73.2,26.8,59.0,41.0
2004-01-01,5.7,9,33.9,73.1,26.9,58.9,41.1
2004-02-01,5.6,5,34,72.8,27.2,59.2,40.8
2004-03-01,5.8,5,34,73.0,27.0,59.2,40.8
2004-04-01,5.6,4,34.1,72.8,27.2,59.0,41.0
2004-05-01,5.6,9,34,72.9,27.1,59.1,40.9
2004-06-01,5.6,8,33.9,74.1,25.9,59.5,40.5
2004-07-01,5.5,8,33.9,74.6,25.4,59.5,40.5
2004-08-01,5.4,5,34,74.0,26.0,59.0,41.0
2004-09-01,5.4,0,34.2,73.0,27.0,59.0,41.0
2004-10-01,5.5,9,34.1,73.3,26.7,59.2,40.8
2004-11-01,5.4,1,34,73.4,26.6,59.2,40.8
2004-12-01,5.4,8,34.1,73.0,27.0,59.2,40.8
2005-01-01,5.3,9,34.2,72.4,27.6,58.9,41.1
2005-02-01,5.4,0,34.1,72.7,27.3,59.0,41.0
2005-03-01,5.2,1,34.1,72.9,27.1,58.8,41.2
2005-04-01,5.2,9,33.9,73.0,27.0,59.0,41.0
2005-05-01,5.1,8,33.9,73.3,26.7,59.2,40.8
2005-06-01,5,5,33.9,74.3,25.7,59.3,40.7
2005-07-01,5,10,33.9,74.6,25.4,59.6,40.4
2005-08-01,4.9,4,33.8,74.2,25.8,59.3,40.7
2005-09-01,5,1,33.9,73.2,26.8,59.5,40.5
2005-10-01,5,0,33.9,73.3,26.7,59.7,40.3
2005-11-01,5,0,34,73.2,26.8,59.5,40.5
2005-12-01,4.9,1,34,72.9,27.1,59.3,40.7
2006-01-01,4.7,2,34,72.6,27.4,58.9,41.1
