DATE,UNRATE,LFPR,notinLF,LNS11300001,m_not_lfpr,LNS11300002,w_not_lfpr
1948-01-01,3.4,58.6,41.4,86.7,13.3,32,68
1948-02-01,3.8,58.9,41.1,87,13,32.4,67.6
1948-03-01,4,58.5,41.5,86.3,13.7,32.1,67.9
1948-04-01,3.9,59,41,86.6,13.4,33,67
1948-05-01,3.5,58.3,41.7,86.1,13.9,32,68
1948-06-01,3.6,59.2,40.8,86.6,13.4,33.4,66.6
1948-07-01,3.6,59.3,40.7,86.7,13.3,33.4,66.6
1948-08-01,3.9,58.9,41.1,86.7,13.3,32.7,67.3
1948-09-01,3.8,58.9,41.1,86.3,13.7,33,67
1948-10-01,3.7,58.7,41.3,86.6,13.4,32.4,67.6
1948-11-01,3.8,58.7,41.3,86.5,13.5,32.6,67.4
1948-12-01,4,59.1,40.9,86.9,13.1,33,67
1949-01-01,4.3,58.7,41.3,86.5,13.5,32.6,67.4
1949-02-01,4.7,59,41,86.6,13.4,33,67
1949-03-01,5,58.9,41.1,86.5,13.5,33,67
1949-04-01,5.3,58.8,41.2,86.6,13.4,32.8,67.2
1949-05-01,6.1,59,41,86.6,13.4,33.1,66.9
1949-06-01,6.2,58.6,41.4,86.2,13.8,32.8,67.2
1949-07-01,6.7,58.9,41.1,86.1,13.9,33.4,66.6
1949-08-01,6.8,59.2,40.8,86.6,13.4,33.5,66.5
1949-09-01,6.6,59.1,40.9,86.6,13.4,33.4,66.6
1949-10-01,7.9,59.6,40.4,87.4,12.6,33.6,66.4
1949-11-01,6.4,59.4,40.6,86.8,13.2,33.7,66.3
1949-12-01,6.6,59.2,40.8,86.6,13.4,33.5,66.5
1950-01-01,6.5,58.9,41.1,86.2,13.8,33.4,66.6
1950-02-01,6.4,58.9,41.1,86.1,13.9,33.4,66.6
1950-03-01,6.3,58.8,41.2,85.9,14.1,33.2,66.8
1950-04-01,5.8,59.2,40.8,86.2,13.8,33.9,66.1
1950-05-01,5.5,59.1,40.9,86.3,13.7,33.6,66.4
1950-06-01,5.4,59.4,40.6,86.2,13.8,34.2,65.8
1950-07-01,5,59.1,40.9,86.1,13.9,33.7,66.3
1950-08-01,4.5,59.5,40.5,86.5,13.5,34.1,65.9
1950-09-01,4.4,59.2,40.8,86.5,13.5,33.7,66.3
1950-10-01,4.2,59.4,40.6,86.4,13.6,34.3,65.7
1950-11-01,4.2,59.3,40.7,86.3,13.7,34.4,65.6
1950-12-01,4.3,59.2,40.8,86.3,13.7,34,66
1951-01-01,3.7,59.1,40.9,86,14,34.3,65.7
1951-02-01,3.4,59.1,40.9,86.3,13.7,34.2,65.8
1951-03-01,3.4,59.8,40.2,86.9,13.1,35,65
1951-04-01,3.1,59.1,40.9,86.3,13.7,34.4,65.6
1951-05-01,3,59.4,40.6,86.6,13.4,34.7,65.3
1951-06-01,3.2,59,41,86.4,13.6,34.2,65.8
1951-07-01,3.1,59.4,40.6,86.3,13.7,35.2,64.8
1951-08-01,3.1,59.2,40.8,86.5,13.5,34.7,65.3
1951-09-01,3.3,59.1,40.9,86.4,13.6,34.4,65.6
1951-10-01,3.5,59.4,40.6,86.8,13.2,34.8,65.2
1951-11-01,3.5,59.2,40.8,86.5,13.5,34.7,65.3
1951-12-01,3.1,59.6,40.4,86.8,13.2,35.1,64.9
1952-01-01,3.2,59.5,40.5,86.8,13.2,35,65
1952-02-01,3.1,59.5,40.5,87,13,34.9,65.1
1952-03-01,2.9,58.9,41.1,86.5,13.5,34.1,65.9
1952-04-01,2.9,58.8,41.2,86.3,13.7,34.3,65.7
1952-05-01,3,59.1,40.9,86.4,13.6,34.7,65.3
1952-06-01,3,59.1,40.9,86.4,13.6,34.6,65.4
1952-07-01,3.2,58.9,41.1,86.3,13.7,34.4,65.6
1952-08-01,3.4,58.7,41.3,85.9,14.1,34.4,65.6
1952-09-01,3.1,59.2,40.8,85.9,14.1,35.4,64.6
1952-10-01,3,58.7,41.3,85.6,14.4,34.6,65.4
1952-11-01,2.8,59.1,40.9,85.6,14.4,35.4,64.6
1952-12-01,2.7,59.2,40.8,86.4,13.6,34.8,65.2
1953-01-01,2.9,59.5,40.5,86.5,13.5,35.1,64.9
1953-02-01,2.6,59.5,40.5,86.8,13.2,34.9,65.1
1953-03-01,2.6,59.6,40.4,86.8,13.2,35.2,64.8
1953-04-01,2.7,59.1,40.9,86.3,13.7,34.6,65.4
1953-05-01,2.5,58.6,41.4,85.8,14.2,34,66
1953-06-01,2.5,58.9,41.1,85.8,14.2,34.7,65.3
1953-07-01,2.6,58.9,41.1,85.9,14.1,34.6,65.4
1953-08-01,2.7,58.6,41.4,85.7,14.3,34.2,65.8
1953-09-01,2.9,58.5,41.5,85.4,14.6,34.3,65.7
1953-10-01,3.1,58.5,41.5,85.4,14.6,34.4,65.6
1953-11-01,3.5,58.6,41.4,85.9,14.1,33.9,66.1
1953-12-01,4.5,58.3,41.7,85.8,14.2,33.6,66.4
1954-01-01,4.9,58.6,41.4,85.8,14.2,33.9,66.1
1954-02-01,5.2,59.3,40.7,86.2,13.8,35,65
1954-03-01,5.7,59.1,40.9,85.6,14.4,35.1,64.9
1954-04-01,5.9,59.2,40.8,86,14,35,65
1954-05-01,5.9,58.9,41.1,85.7,14.3,34.6,65.4
1954-06-01,5.6,58.5,41.5,85.3,14.7,34.4,65.6
1954-07-01,5.8,58.4,41.6,85.4,14.6,34.1,65.9
1954-08-01,6,58.7,41.3,85.9,14.1,34.3,65.7
1954-09-01,6.1,59.2,40.8,86,14,34.9,65.1
1954-10-01,5.7,58.8,41.2,85.5,14.5,34.8,65.2
1954-11-01,5.3,58.6,41.4,85.2,14.8,34.6,65.4
1954-12-01,5,58.1,41.9,84.8,15.2,34.1,65.9
1955-01-01,4.9,58.6,41.4,85,15,34.7,65.3
1955-02-01,4.7,58.4,41.6,84.8,15.2,34.5,65.5
1955-03-01,4.6,58.5,41.5,85,15,34.5,65.5
1955-04-01,4.7,59,41,85.2,14.8,35.3,64.7
1955-05-01,4.3,58.8,41.2,85.1,14.9,35,65
1955-06-01,4.2,58.8,41.2,84.8,15.2,35.2,64.8
1955-07-01,4,59.3,40.7,85.3,14.7,35.8,64.2
1955-08-01,4.2,59.7,40.3,85.4,14.6,36.4,63.6
1955-09-01,4.1,59.7,40.3,85.6,14.4,36.2,63.8
1955-10-01,4.3,59.8,40.2,85.7,14.3,36.4,63.6
1955-11-01,4.2,59.9,40.1,85.8,14.2,36.5,63.5
1955-12-01,4.2,60.2,39.8,85.9,14.1,37,63
1956-01-01,4,60.2,39.8,86.1,13.9,36.7,63.3
1956-02-01,3.9,59.9,40.1,85.9,14.1,36.3,63.7
1956-03-01,4.2,59.8,40.2,85.8,14.2,36.4,63.6
1956-04-01,4,59.9,40.1,85.6,14.4,36.6,63.4
1956-05-01,4.3,60.2,39.8,85.8,14.2,37.1,62.9
1956-06-01,4.3,60.1,39.9,85.7,14.3,37,63
1956-07-01,4.4,60.1,39.9,85.5,14.5,37.2,62.8
1956-08-01,4.1,60,40,85.4,14.6,37,63
1956-09-01,3.9,60,40,85.2,14.8,37.1,62.9
1956-10-01,3.9,59.8,40.2,85,15,36.9,63.1
1956-11-01,4.3,59.8,40.2,85.2,14.8,36.9,63.1
1956-12-01,4.2,59.8,40.2,85,15,36.9,63.1
1957-01-01,4.2,59.5,40.5,84.8,15.2,36.6,63.4
1957-02-01,3.9,59.9,40.1,85,15,37.1,62.9
1957-03-01,3.7,59.8,40.2,85.2,14.8,36.9,63.1
1957-04-01,3.9,59.5,40.5,85,15,36.5,63.5
1957-05-01,4.1,59.5,40.5,84.9,15.1,36.6,63.4
1957-06-01,4.3,59.8,40.2,85.2,14.8,36.8,63.2
1957-07-01,4.2,60,40,85.1,14.9,37.2,62.8
1957-08-01,4.1,59.3,40.7,84.4,15.6,36.6,63.4
1957-09-01,4.4,59.6,40.4,84.6,15.4,36.9,63.1
1957-10-01,4.5,59.5,40.5,84.4,15.6,37,63
1957-11-01,5.1,59.5,40.5,84.4,15.6,36.9,63.1
1957-12-01,5.2,59.6,40.4,84.5,15.5,37.1,62.9
1958-01-01,5.8,59.3,40.7,84.1,15.9,36.8,63.2
1958-02-01,6.4,59.3,40.7,84,16,37,63
1958-03-01,6.7,59.3,40.7,84,16,37,63
1958-04-01,7.4,59.6,40.4,84.3,15.7,37.3,62.7
1958-05-01,7.4,59.8,40.2,84.6,15.4,37.4,62.6
1958-06-01,7.3,59.5,40.5,84.3,15.7,37.1,62.9
1958-07-01,7.5,59.6,40.4,84.6,15.4,37,63
1958-08-01,7.4,59.8,40.2,84.6,15.4,37.3,62.7
1958-09-01,7.1,59.7,40.3,84.7,15.3,37,63
1958-10-01,6.7,59.6,40.4,84.6,15.4,37,63
1958-11-01,6.2,59.2,40.8,84,16,36.8,63.2
1958-12-01,6.2,59.2,40.8,83.8,16.2,36.9,63.1
1959-01-01,6,59.3,40.7,83.8,16.2,37.1,62.9
1959-02-01,5.9,59,41,83.5,16.5,36.8,63.2
1959-03-01,5.6,59.3,40.7,83.8,16.2,37.1,62.9
1959-04-01,5.2,59.4,40.6,83.9,16.1,37.3,62.7
1959-05-01,5.1,59.2,40.8,83.6,16.4,37.1,62.9
1959-06-01,5,59.2,40.8,83.5,16.5,37.3,62.7
1959-07-01,5.1,59.4,40.6,83.9,16.1,37.1,62.9
1959-08-01,5.2,59.2,40.8,83.7,16.3,37.1,62.9
1959-09-01,5.5,59.3,40.7,83.9,16.1,37,63
1959-10-01,5.7,59.4,40.6,83.8,16.2,37.4,62.6
1959-11-01,5.8,59.1,40.9,83.5,16.5,37,63
1959-12-01,5.3,59.5,40.5,83.9,16.1,37.3,62.7
1960-01-01,5.2,59.1,40.9,83.6,16.4,37,63
1960-02-01,4.8,59.1,40.9,83.4,16.6,37.1,62.9
1960-03-01,5.4,58.5,41.5,82.8,17.2,36.6,63.4
1960-04-01,5.2,59.5,40.5,83.6,16.4,37.8,62.2
1960-05-01,5.1,59.5,40.5,83.4,16.6,37.9,62.1
1960-06-01,5.4,59.7,40.3,83.3,16.7,38.4,61.6
1960-07-01,5.5,59.5,40.5,83.2,16.8,38.1,61.9
1960-08-01,5.6,59.5,40.5,83.3,16.7,37.9,62.1
1960-09-01,5.5,59.7,40.3,83.5,16.5,38.2,61.8
1960-10-01,6.1,59.4,40.6,83.4,16.6,37.7,62.3
1960-11-01,6.1,59.8,40.2,83.7,16.3,38.2,61.8
1960-12-01,6.6,59.7,40.3,83.4,16.6,38.2,61.8
1961-01-01,6.6,59.6,40.4,83.4,16.6,38.2,61.8
1961-02-01,6.9,59.6,40.4,82.9,17.1,38.5,61.5
1961-03-01,6.9,59.7,40.3,83.1,16.9,38.7,61.3
1961-04-01,7,59.3,40.7,82.8,17.2,38.1,61.9
1961-05-01,7.1,59.4,40.6,83,17,38.1,61.9
1961-06-01,6.9,59.7,40.3,83.1,16.9,38.6,61.4
1961-07-01,7,59.3,40.7,82.8,17.2,38.1,61.9
1961-08-01,6.6,59.3,40.7,82.9,17.1,38,62
1961-09-01,6.7,59,41,82.6,17.4,37.7,62.3
1961-10-01,6.5,59.1,40.9,82.6,17.4,38,62
1961-11-01,6.1,59.1,40.9,82.7,17.3,37.8,62.2
1961-12-01,6,58.8,41.2,82.5,17.5,37.5,62.5
1962-01-01,5.8,58.8,41.2,82.2,17.8,37.9,62.1
1962-02-01,5.5,59,41,82.5,17.5,38,62
1962-03-01,5.6,58.9,41.1,82.5,17.5,37.8,62.2
1962-04-01,5.6,58.7,41.3,82,18,37.8,62.2
1962-05-01,5.5,58.9,41.1,82.4,17.6,37.8,62.2
1962-06-01,5.5,58.8,41.2,82.1,17.9,37.8,62.2
1962-07-01,5.4,58.5,41.5,81.7,18.3,37.7,62.3
1962-08-01,5.7,59,41,82.1,17.9,38.3,61.7
1962-09-01,5.6,59,41,82,18,38.3,61.7
1962-10-01,5.4,58.7,41.3,81.7,18.3,37.9,62.1
1962-11-01,5.7,58.5,41.5,81.6,18.4,37.8,62.2
